"ID_lambea","Familia","Variante","Categoría_web","Nombre_completo","SKU_propuesto","Descripción_corta","Precio_desde_EUR","Precio_hasta_EUR","Formatos","Valoración","Num_valoraciones","Código_toxicología","Instrucciones_uso","Usos_principales","Aplicaciones","Promo_3x2","URL_web_oficial","Carpeta_local","Carpeta_existe","Ficha_producto_md","PDF_ficha_técnica","Num_imágenes_local","Envío_península","Envío_baleares","Bestseller","Notas"
"tapilam-generico","TAPILAM","generico","Genérico","TAPILAM GENÉRICO","LAM-TAP-GEN","Limpiador concentrado para moquetas y tapicerías","17.9","380.37","1 L | 5 L | 25 L","5.0","2","DRP19-0005578","Manual: diluir 1:10, aplicar con esponja/cepillo. Máquina: diluir 1:15. Generar espuma, dejar secar y aspirar residuos.","Limpieza moquetas; Limpieza tapicerías; Limpieza asientos barco","nautico; caravaning; industrial","Sí","https://grupolambea.com/producto/tapilam-limpiador-para-moquetas-y-tapicerisa-1-litro-concentrado/","03-industriales/08-tapilam-industrial","Sí","Sí","Sí","7","Gratis","~€4","No","URL genérica — puede cubrir varias categorías"
"tekalam-nautico","TEKALAM","nautico","Náutico","TEKALAM NÁUTICO","LAM-TEK-NAU","Protector de madera. Evita resecamiento, humedad y podredumbre.","16.8","354.9","1 L | 5 L | 25 L","5.0","2","170020/LAM","Aplicar TEKALAM puro con brocha sobre madera seca y limpia. Dejar secar mínimo 24 horas. Dar segunda mano si es necesario.","Protección madera teca; Protección madera caravana; Prevención podredumbre","nautico; caravaning","Sí","https://grupolambea.com/producto/tekalam-nautico-protector-de-madera-formula-especial-nautica-1-litro-aceite-cubierta/","01-limpieza-barcos/11-tekalam-nautico","Sí","Sí","No","4","Gratis","~€4","No",""
"tekalam-caravaning","TEKALAM","caravaning","Caravaning","TEKALAM CARAVANING","LAM-TEK-CAR","Protector de madera. Evita resecamiento, humedad y podredumbre.","16.8","354.9","1 L | 5 L | 25 L","5.0","2","170020/LAM","Aplicar TEKALAM puro con brocha sobre madera seca y limpia. Dejar secar mínimo 24 horas. Dar segunda mano si es necesario.","Protección madera teca; Protección madera caravana; Prevención podredumbre","nautico; caravaning","Sí","https://grupolambea.com/producto/tekalam-caravaning-protector-de-madera-formula-especial-caravana-1-litro-resecamiento-humedad/","02-limpieza-caravanas/10-tekalam-caravaning","Sí","Sí","No","4","Gratis","~€4","No",""
"tekalam-generico","TEKALAM","generico","Genérico","TEKALAM GENÉRICO","LAM-TEK-GEN","Protector de madera. Evita resecamiento, humedad y podredumbre.","16.8","354.9","1 L | 5 L | 25 L","5.0","2","170020/LAM","Aplicar TEKALAM puro con brocha sobre madera seca y limpia. Dejar secar mínimo 24 horas. Dar segunda mano si es necesario.","Protección madera teca; Protección madera caravana; Prevención podredumbre","nautico; caravaning","Sí","https://grupolambea.com/producto/tekalam-protector-de-madera-1-litro/","03-industriales/10-tekalam-industrial","Sí","Sí","No","4","Gratis","~€4","No","URL genérica — puede cubrir varias categorías"
"hipiclam-especial","HIPICLAM","especial","Hípica","HIPICLAM — Sistema Anticaídas","LAM-HIP-001","Sistema anticaídas para hípica. Seguridad para jinetes.","1700.0","1700.0","Sistema completo","","","","","Niños; Adultos iniciados; Jinetes avanzados; Hipoterapia; Doma de potros; Turismo ecuestre","hipica","No","https://grupolambea.com/sistema-anticaidas-para-hipica/","04-anticaidas-hipica/01-hipiclam","Sí","Sí","No","9","Gratis","~€4","No","Venta consultiva — sin tienda online. Precio sin IVA."
"disco-cuerda-rojo","DISCOS Y ABRASIVOS","abrasivo","Industrial","Disco de Cuerda Impregnación Roja","LAM-DSC-CRD","Disco de cuerda para pulido con impregnación roja. Alta calidad.","45.58","81.02","Paquetes de 5 o 10 unidades","","","","","Pulido profesional","industrial","No","https://grupolambea.com/producto/disco-de-cuerda-paquete-de-diez-impregnacion-roja/","05-discos-abrasivos/01-disco-cuerda-rojo","Sí","Sí","No","1","Gratis","~€4","No","Pack 5 o 10 unidades"
"disco-algodon-amarillo","DISCOS Y ABRASIVOS","abrasivo","Industrial","Disco de Algodón/Tela Impregnación Amarilla","LAM-DSC-AML","Disco de tela/algodón para pulido con impregnación amarilla. Alta calidad.","46.56","82.76","Paquetes de 5 o 10 unidades","","","","","Pulido profesional","industrial","No","https://grupolambea.com/producto/disco-amarillo-de-tela-impregnado-paquete-de-diez-impregnacion-amarilla/","05-discos-abrasivos/02-disco-algodon-amarillo","Sí","Sí","No","2","Gratis","~€4","No","Pack 5 o 10 unidades"
"PENDIENTE-01-inyeclam-diesel","PENDIENTE (01-inyeclam-diesel)","SIN URL","Caravaning","⚠️ 01-INYECLAM-DIESEL","","Sin URL capturada — verificar en WooCommerce","","","","","","","","","","?","⚠️ PENDIENTE URL","02-limpieza-caravanas/01-inyeclam-diesel","Sí","Sí","Sí","5","Gratis","~€4","No","Carpeta existe en catálogo pero URL no capturada en JSON. Completar con export WooCommerce."
"PENDIENTE-02-inyeclam-gasolina","PENDIENTE (02-inyeclam-gasolina)","SIN URL","Caravaning","⚠️ 02-INYECLAM-GASOLINA","","Sin URL capturada — verificar en WooCommerce","","","","","","","","","","?","⚠️ PENDIENTE URL","02-limpieza-caravanas/02-inyeclam-gasolina","Sí","Sí","Sí","0","Gratis","~€4","No","Carpeta existe en catálogo pero URL no capturada en JSON. Completar con export WooCommerce."
"PENDIENTE-05-manzalam-caravaning","PENDIENTE (05-manzalam-caravaning)","SIN URL","Caravaning","⚠️ 05-MANZALAM-CARAVANING","","Sin URL capturada — verificar en WooCommerce","","","","","","","","","","?","⚠️ PENDIENTE URL","02-limpieza-caravanas/05-manzalam-caravaning","Sí","Sí","Sí","0","Gratis","~€4","No","Carpeta existe en catálogo pero URL no capturada en JSON. Completar con export WooCommerce."
"PENDIENTE-14-gelcoatlam-fase-1","PENDIENTE (14-gelcoatlam-fase-1)","SIN URL","Caravaning","⚠️ 14-GELCOATLAM-FASE-1","","Sin URL capturada — verificar en WooCommerce","","","","","","","","","","?","⚠️ PENDIENTE URL","02-limpieza-caravanas/14-gelcoatlam-fase-1","Sí","Sí","Sí","0","Gratis","~€4","No","Carpeta existe en catálogo pero URL no capturada en JSON. Completar con export WooCommerce."
"PENDIENTE-15-gelcoatlam-fase-2","PENDIENTE (15-gelcoatlam-fase-2)","SIN URL","Caravaning","⚠️ 15-GELCOATLAM-FASE-2","","Sin URL capturada — verificar en WooCommerce","","","","","","","","","","?","⚠️ PENDIENTE URL","02-limpieza-caravanas/15-gelcoatlam-fase-2","Sí","Sí","Sí","2","Gratis","~€4","No","Carpeta existe en catálogo pero URL no capturada en JSON. Completar con export WooCommerce."
